,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1951,1,7.9,3.9,,106.2,48.2,,1951-01-01,5.9
8,1951,2,8.3,2.8,,96.3,105.2,,1951-02-01,5.550000000000001
9,1951,3,8.6,3.5,,102.1,104.9,,1951-03-01,6.05
10,1951,4,11.4,4.2,,94.2,225.1,,1951-04-01,7.800000000000001
11,1951,5,14.1,7.0,,59.9,198.7,,1951-05-01,10.55
12,1951,6,18.6,10.7,,21.8,255.3,,1951-06-01,14.65
13,1951,7,20.2,12.2,,39.1,261.5,,1951-07-01,16.2
14,1951,8,18.4,12.3,,118.4,182.1,,1951-08-01,15.35
15,1951,9,18.0,12.6,,68.6,87.6,,1951-09-01,15.3
16,1951,10,15.3,7.9,,38.6,133.2,,1951-10-01,11.600000000000001
17,1951,11,12.1,7.7,,102.1,80.8,,1951-11-01,9.9
18,1951,12,9.9,6.1,,90.9,60.8,,1951-12-01,8.0
19,1952,1,7.5,3.4,,94.7,76.5,,1952-01-01,5.45
20,1952,2,8.3,2.6,,32.0,108.4,,1952-02-01,5.45
21,1952,3,10.8,5.9,,66.8,113.0,,1952-03-01,8.350000000000001
22,1952,4,13.9,6.2,,108.2,185.1,,1952-04-01,10.05
23,1952,5,17.3,9.4,,75.7,221.7,,1952-05-01,13.350000000000001
24,1952,6,18.1,10.9,,41.1,205.1,,1952-06-01,14.5
25,1952,7,20.9,13.6,,24.4,193.0,,1952-07-01,17.25
26,1952,8,20.3,13.2,,138.7,191.6,,1952-08-01,16.75
27,1952,9,15.9,9.3,,100.1,163.3,,1952-09-01,12.600000000000001
28,1952,10,13.9,8.1,,108.2,119.1,,1952-10-01,11.0
29,1952,11,8.7,4.8,,122.2,71.3,,1952-11-01,6.75
30,1952,12,8.1,3.6,,109.7,66.6,,1952-12-01,5.85
31,1953,1,7.7,2.7,,27.9,52.7,,1953-01-01,5.2
32,1953,2,8.3,2.8,,41.7,90.9,,1953-02-01,5.550000000000001
33,1953,3,12.6,2.2,,31.0,188.7,,1953-03-01,7.4
34,1953,4,12.8,4.9,,51.1,214.8,,1953-04-01,8.850000000000001
35,1953,5,17.2,8.7,,71.9,227.1,,1953-05-01,12.95
36,1953,6,18.4,10.6,,29.0,219.4,,1953-06-01,14.5
37,1953,7,19.4,13.2,,140.0,220.6,,1953-07-01,16.299999999999997
38,1953,8,20.3,13.1,,87.4,227.3,,1953-08-01,16.7
39,1953,9,17.8,11.4,,111.5,151.0,,1953-09-01,14.600000000000001
40,1953,10,15.7,7.8,,50.8,150.7,,1953-10-01,11.75
41,1953,11,12.4,7.8,,71.9,59.5,,1953-11-01,10.1
42,1953,12,11.6,7.2,,31.2,52.2,,1953-12-01,9.4
43,1954,1,7.4,3.5,,55.6,69.7,,1954-01-01,5.45
44,1954,2,7.9,2.4,,105.2,83.8,,1954-02-01,5.15
45,1954,3,10.6,4.9,,64.3,127.1,,1954-03-01,7.75
46,1954,4,13.1,4.1,,16.8,264.8,,1954-04-01,8.6
47,1954,5,15.4,8.2,,59.9,199.2,,1954-05-01,11.8
48,1954,6,17.1,10.9,,66.5,181.2,,1954-06-01,14.0
49,1954,7,16.7,12.3,,110.0,130.9,,1954-07-01,14.5
50,1954,8,18.2,12.4,,73.7,155.1,,1954-08-01,15.3
